driverRef,Matches,count
alboreto,Total win,23
alesi,Total win,32
allison,Total win,1
alonso,Total win,97
amon,Total win,11
anderson,Total win,1
andretti,Total win,1
angelis,Total win,9
arnoux,Total win,22
arundell,Total win,2
ascari,Total win,17
attwood,Total win,1
ayulo,Total win,1
baghetti,Total win,1
bandini,Total win,8
barrichello,Total win,68
behra,Total win,9
beltoise,Total win,8
berger,Total win,48
bernard,Total win,1
bettenhausen,Total win,1
bianchi,Total win,1
blundell,Total win,3
bonetto,Total win,2
bonnier,Total win,1
bottas,Total win,45
boutsen,Total win,15
boyd,Total win,1
brambilla,Total win,1
brooks,Total win,10
brundle,Total win,9
bryan,Total win,3
button,Total win,50
capelli,Total win,3
castellotti,Total win,3
cesaris,Total win,5
cevert,Total win,13
cheever,Total win,9
chiron,Total win,1
clark,Total win,32
collins,Total win,9
coulthard,Total win,62
courage,Total win,2
cross,Total win,1
damon_hill,Total win,42
darter,Total win,1
davies,Total win,1
depailler,Total win,19
donohue,Total win,1
emerson_fittipaldi,Total win,35
fabi,Total win,2
fagioli,Total win,6
fangio,Total win,35
farina,Total win,20
fischer,Total win,2
fisichella,Total win,19
flaherty,Total win,1
flockhart,Total win,1
follmer,Total win,1
freeland,Total win,1
frentzen,Total win,18
frere,Total win,1
gasly,Total win,1
gavin,Total win,1
gendebien,Total win,2
george_amick,Total win,1
gethin,Total win,1
giacomelli,Total win,1
gilles_villeneuve,Total win,13
ginther,Total win,14
glock,Total win,3
goldsmith,Total win,1
gonzalez,Total win,15
gregory,Total win,3
grosjean,Total win,10
gugelmin,Total win,1
gurney,Total win,19
hailwood,Total win,2
hakkinen,Total win,51
hamilton,Total win,151
hanks,Total win,4
hawthorn,Total win,18
heidfeld,Total win,13
herbert,Total win,7
herrmann,Total win,1
hill,Total win,36
holland,Total win,1
hulme,Total win,33
hunt,Total win,23
ickx,Total win,25
ireland,Total win,4
irvine,Total win,26
jabouille,Total win,2
jack_brabham,Total win,31
jarier,Total win,3
johansson,Total win,12
jones,Total win,24
keke_rosberg,Total win,17
kevin_magnussen,Total win,1
kling,Total win,2
kobayashi,Total win,1
kovalainen,Total win,4
kubica,Total win,12
kvyat,Total win,3
laffite,Total win,33
larini,Total win,1
lauda,Total win,54
leclerc,Total win,10
lehto,Total win,1
lewis-evans,Total win,2
love,Total win,1
maggs,Total win,3
maglioli,Total win,2
mairesse,Total win,1
maldonado,Total win,1
mansell,Total win,59
manzon,Total win,2
marimon,Total win,2
mario_andretti,Total win,19
mass,Total win,8
massa,Total win,41
max_verstappen,Total win,31
mcgrath,Total win,2
mclaren,Total win,27
menditeguy,Total win,1
michael_schumacher,Total win,155
modena,Total win,2
monteiro,Total win,1
montoya,Total win,30
morbidelli,Total win,1
moreno,Total win,1
moss,Total win,24
musso,Total win,7
nannini,Total win,9
nazaruk,Total win,1
nilsson,Total win,4
oliver,Total win,2
pace,Total win,6
panis,Total win,5
parkes,Total win,2
parsons,Total win,1
patrese,Total win,37
paul_russo,Total win,1
perdisa,Total win,2
perez,Total win,8
pescarolo,Total win,1
peterson,Total win,26
petrov,Total win,1
phil_hill,Total win,16
piquet,Total win,60
piquet_jr,Total win,1
pironi,Total win,13
portago,Total win,1
prost,Total win,106
pryce,Total win,2
raikkonen,Total win,103
ralf_schumacher,Total win,27
rathmann,Total win,4
redman,Total win,1
reg_parnell,Total win,1
regazzoni,Total win,28
reutemann,Total win,45
revson,Total win,8
ricciardo,Total win,29
rindt,Total win,13
rodriguez,Total win,7
rosa,Total win,1
rosberg,Total win,57
rose,Total win,1
rosier,Total win,2
ruttman,Total win,1
sainz,Total win,1
salo,Total win,2
salvadori,Total win,2
sato,Total win,1
scarfiotti,Total win,1
scheckter,Total win,33
schell,Total win,2
schenken,Total win,1
senna,Total win,80
serafini,Total win,1
siffert,Total win,6
spence,Total win,1
stewart,Total win,43
stommelen,Total win,1
streiff,Total win,1
stroll,Total win,1
stuck,Total win,2
surtees,Total win,24
suzuki,Total win,1
sweikert,Total win,1
tambay,Total win,11
taruffi,Total win,5
thomson,Total win,1
trevor_taylor,Total win,1
trintignant,Total win,10
trips,Total win,6
trulli,Total win,11
verstappen,Total win,2
vettel,Total win,120
villeneuve,Total win,23
villoresi,Total win,8
vukovich,Total win,2
wallard,Total win,1
ward,Total win,2
warwick,Total win,4
watson,Total win,20
webber,Total win,42
whitehead,Total win,1
wisell,Total win,1
wurz,Total win,3
alboreto,Total race,215
alesi,Total race,202
allison,Total race,18
alonso,Total race,314
amon,Total race,106
anderson,Total race,26
andretti,Total race,13
angelis,Total race,110
arnoux,Total race,164
arundell,Total race,15
ascari,Total race,36
attwood,Total race,17
ayulo,Total race,4
baghetti,Total race,26
bandini,Total race,44
barrichello,Total race,326
behra,Total race,57
beltoise,Total race,87
berger,Total race,210
bernard,Total race,47
bettenhausen,Total race,13
bianchi,Total race,19
blundell,Total race,63
bonetto,Total race,17
bonnier,Total race,109
bottas,Total race,140
boutsen,Total race,164
boyd,Total race,6
brambilla,Total race,78
brooks,Total race,41
brundle,Total race,165
bryan,Total race,9
button,Total race,309
capelli,Total race,98
castellotti,Total race,17
cesaris,Total race,214
cevert,Total race,47
cheever,Total race,143
chiron,Total race,17
clark,Total race,73
collins,Total race,37
coulthard,Total race,247
courage,Total race,29
cross,Total race,4
damon_hill,Total race,122
darter,Total race,10
davies,Total race,6
depailler,Total race,95
donohue,Total race,15
emerson_fittipaldi,Total race,149
fabi,Total race,71
fagioli,Total race,8
fangio,Total race,58
farina,Total race,37
fischer,Total race,7
fisichella,Total race,231
flaherty,Total race,6
flockhart,Total race,15
follmer,Total race,12
freeland,Total race,8
frentzen,Total race,159
frere,Total race,11
gasly,Total race,47
gavin,Total race,12
gendebien,Total race,17
george_amick,Total race,1
gethin,Total race,30
giacomelli,Total race,82
gilles_villeneuve,Total race,68
ginther,Total race,54
glock,Total race,95
goldsmith,Total race,3
gonzalez,Total race,29
gregory,Total race,46
grosjean,Total race,166
gugelmin,Total race,80
gurney,Total race,87
hailwood,Total race,51
hakkinen,Total race,165
hamilton,Total race,250
hanks,Total race,9
hawthorn,Total race,48
heidfeld,Total race,184
herbert,Total race,165
herrmann,Total race,20
hill,Total race,179
holland,Total race,2
hulme,Total race,112
hunt,Total race,93
ickx,Total race,121
ireland,Total race,55
irvine,Total race,147
jabouille,Total race,55
jack_brabham,Total race,129
jarier,Total race,143
johansson,Total race,103
jones,Total race,117
keke_rosberg,Total race,128
kevin_magnussen,Total race,103
kling,Total race,12
kobayashi,Total race,76
kovalainen,Total race,112
kubica,Total race,97
kvyat,Total race,95
laffite,Total race,180
larini,Total race,75
lauda,Total race,174
leclerc,Total race,42
lehto,Total race,70
lewis-evans,Total race,14
love,Total race,10
maggs,Total race,27
maglioli,Total race,10
mairesse,Total race,12
maldonado,Total race,96
mansell,Total race,192
manzon,Total race,29
marimon,Total race,12
mario_andretti,Total race,129
mass,Total race,114
massa,Total race,271
max_verstappen,Total race,102
mcgrath,Total race,6
mclaren,Total race,103
menditeguy,Total race,12
michael_schumacher,Total race,308
modena,Total race,81
monteiro,Total race,37
montoya,Total race,95
morbidelli,Total race,70
moreno,Total race,74
moss,Total race,73
musso,Total race,26
nannini,Total race,77
nazaruk,Total race,3
nilsson,Total race,32
oliver,Total race,51
pace,Total race,73
panis,Total race,158
parkes,Total race,7
parsons,Total race,10
patrese,Total race,257
paul_russo,Total race,9
perdisa,Total race,9
perez,Total race,178
pescarolo,Total race,59
peterson,Total race,123
petrov,Total race,58
phil_hill,Total race,52
piquet,Total race,207
piquet_jr,Total race,28
pironi,Total race,72
portago,Total race,6
prost,Total race,202
pryce,Total race,42
raikkonen,Total race,315
ralf_schumacher,Total race,180
rathmann,Total race,12
redman,Total race,13
reg_parnell,Total race,7
regazzoni,Total race,138
reutemann,Total race,146
revson,Total race,31
ricciardo,Total race,171
rindt,Total race,62
rodriguez,Total race,54
rosa,Total race,107
rosberg,Total race,206
rose,Total race,2
rosier,Total race,39
ruttman,Total race,9
sainz,Total race,102
salo,Total race,111
salvadori,Total race,51
sato,Total race,91
scarfiotti,Total race,13
scheckter,Total race,113
schell,Total race,64
schenken,Total race,36
senna,Total race,162
serafini,Total race,1
siffert,Total race,100
spence,Total race,36
stewart,Total race,100
stommelen,Total race,61
streiff,Total race,54
stroll,Total race,62
stuck,Total race,81
surtees,Total race,112
suzuki,Total race,88
sweikert,Total race,5
tambay,Total race,122
taruffi,Total race,18
thomson,Total race,9
trevor_taylor,Total race,29
trintignant,Total race,87
trips,Total race,28
trulli,Total race,256
verstappen,Total race,107
vettel,Total race,241
villeneuve,Total race,165
villoresi,Total race,35
vukovich,Total race,5
wallard,Total race,2
ward,Total race,12
warwick,Total race,162
watson,Total race,154
webber,Total race,217
whitehead,Total race,12
wisell,Total race,23
wurz,Total race,69